,年化收益,年化波动,夏普比率,最大回撤,Calmar,最大回撤起止,累计收益,基准年化收益,年化超额收益,跟踪误差,信息比率,Beta,超额最大回撤,月度胜率(vs基准)
等权合成,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.05512768906547749,-0.011863341952396467,0.10443698988976358,-0.11359329644524019,0.8135916316904,-0.4546305675645965,0.4645669291338583
IC-IR加权,0.08801607956472979,0.18322062170003053,0.48038304175623875,-0.25187942549933107,0.3494373523770148,2018-01-23~2019-01-02,1.4568320671995396,0.05512768906547749,0.03117005727371369,0.09985679127936585,0.3121475953148776,0.8929199151600903,-0.27026049207870084,0.5511811023622047
行业市值中性(6因子),0.031610908609063015,0.18073716203733625,0.1748998836361772,-0.34448250572967154,0.09176346572986581,2017-04-13~2018-10-18,0.3932269208422443,0.05512768906547749,-0.022288089583965998,0.0865892855795496,-0.2574000863362006,0.9190575004343297,-0.4395255272341124,0.4881889763779528
等权合成+换仓缓冲(前100名不卖),0.05440298065881444,0.17060704220935055,0.3188788689745701,-0.325009149300333,0.1673890743566175,2018-01-26~2018-10-18,0.7585391630372937,0.05512768906547749,-0.0006868442693461763,0.10566131531259393,-0.006500432701544368,0.7987465439302704,-0.43053067040529347,0.4645669291338583
股票池等权,0.02880868480904608,0.2046006044452235,0.14080449511457266,-0.38170111316659294,0.07547445845795207,2017-10-13~2018-10-18,0.35342507111905896,0.05512768906547749,-0.024943904447946252,0.07823098949405595,-0.3188494049387105,1.0951024598356804,-0.3482896308803207,0.4251968503937008
