,与log市值秩相关
动量(12-1月),0.3374849853837797
反转(1月),-0.1254798383523124
低波动(60日),0.06882773168945501
小市值,-0.9999847272763176
低换手(20日),0.29193702948228867
价值(BP),-0.08559951569613393
质量(ROE),0.2958815367606893
"价值(EP,诊断)",0.1884456122688903
