,mom_12_1,rev_1m,vol_60,size,turnover_20,bp,roe,ep
2015-12-31,-0.05435947181971784,-0.014400965648380084,0.28753187554099124,-0.20759962980273503,0.2149372181494057,0.13750510179687916,0.11263633919825833,0.16107571605245544
2016-01-29,-0.014974829951963834,0.020945114118512614,0.15184471588786494,-0.06333360809276033,0.11880003186569835,0.12301801720669354,0.028121093338179155,0.10784104379676264
2016-02-29,-0.06590794103307504,0.27762377262822596,-0.2001975585840809,0.2691503822765523,-0.03172336312082037,-0.08447192836002415,0.033471952777569244,-0.00958845053785611
2016-03-31,0.04157358168989184,0.1585758943007789,0.26878935372100504,0.01782334279814791,0.19147606135401377,0.1510273418270719,0.07890986748622156,0.17077033859231225
2016-04-29,-0.019775800970711552,-0.0033452257918723982,0.05305608813108349,-0.0806306247663016,0.010897519033933491,-0.051936288608839816,0.10136824029438202,0.10875466169501476
2016-05-31,0.031257105767288976,0.046312441044910946,-0.0372372839840228,0.1832530457260586,-0.05557897460500628,-0.06357736685516778,0.12195913561480357,0.08265264507644432
2016-06-30,0.017051118980619093,0.1447969397579682,0.2848070168370682,-0.15514490167927616,0.28892726794852014,0.2295588808838055,0.08654959919552974,0.24486408482120453
2016-07-29,-0.07265692485804773,0.12105023386557869,0.1630275227218332,0.1286405100099601,0.1653954198409911,0.16183237258714583,-0.08370625635189385,0.012464450090310842
2016-08-31,0.033790139963405436,-0.04155541931228123,0.26354788945908225,0.050171399956105575,0.23640633519506196,0.09286411444034454,0.04631295393138666,0.04405276715821816
2016-09-30,-0.09938837629429707,0.1469316105072838,0.09303282436632318,0.07829859327350289,0.15104519774716002,0.1698222447068495,-0.1076723620175936,-0.01370816243262474
2016-10-31,-0.17058435247562917,-0.04603834678569008,0.1989095299458739,-0.12820535306842326,0.10288741540439512,0.23051044542764454,-0.11490675833664721,0.05886758831043159
2016-11-30,0.06061725951932604,0.033688843407204655,0.13492599416512752,-0.024033167152920032,0.19755700620924596,0.18303470781759634,0.0003935142834489825,0.08041567466414816
2016-12-30,0.11362516183588707,0.0067247545121772384,0.10028885831235493,-0.2659085521942245,0.09960874687057276,0.18420589046376262,0.12377139331179725,0.21921654610937863
2017-01-26,0.039598211442810206,0.11753381184482449,-0.032502712860972505,0.16021401840235863,-0.009198580366472218,-0.009734610803674146,0.005107970828837026,0.02205203152572787
