,等权合成,IC-IR加权,行业市值中性(6因子)
2015-12-31,0.3621856801072369,0.3621856801072369,0.2623991665772346
2016-01-29,0.13167251871888888,0.13167251871888888,0.17611420154565582
2016-02-29,-0.039105921291420154,-0.039105921291420154,-0.05779448615112117
2016-03-31,0.317548155911282,0.317548155911282,0.2848797748256114
2016-04-29,0.08430296814838771,0.08430296814838771,0.03073084350642956
2016-05-31,-0.0971498565246145,-0.0971498565246145,0.006551095921905034
2016-06-30,0.4106482493265961,0.3354837596019377,0.33309924610196856
2016-07-29,0.2161247820048392,0.15546114259134622,0.1590121079517133
2016-08-31,0.19837638964076915,0.14072314982494175,0.2107908864186096
2016-09-30,0.12919737227995975,0.14063105205070567,0.13596258102286957
2016-10-31,0.09769225508584437,0.21510390655753392,0.073962356911429
2016-11-30,0.2623860419175943,0.25943592558997064,0.21652828582927966
2016-12-30,0.2686650646732774,0.25536696133534165,0.2577327337365139
2017-01-26,0.05613957292474259,-0.02262218704604018,0.08068684795801477
2017-02-28,0.228973362316395,0.10258474342036925,0.14794177206453438
2017-03-31,0.13003610439168392,0.16072828112545876,0.066720054878676
2017-04-28,0.12481790604552039,0.2894923917699691,0.09716983280030773
2017-05-31,0.11961664064528431,0.0008309207951106149,0.12333729529692228
2017-06-30,0.05371870206701282,0.22469405650188484,0.022959954428987656
2017-07-31,-0.13933817743409918,-0.1998564535497406,-0.05736246534068199
2017-08-31,0.029116498894284835,0.021146112138852,0.03765341019617567
2017-09-29,0.3273083485499227,0.3805576225056875,0.24595354612566614
2017-10-31,0.1964074827961218,0.26515856023892037,0.15824003431472938
2017-11-30,0.029727256505709555,0.13895989980533777,0.04006082537817894
2017-12-29,0.30723369962053454,0.35127073064917397,0.1892933456787278
2018-01-31,0.05998516424741127,0.05924825299506832,0.06416921002812456
2018-02-28,-0.06710765497775914,-0.1511767225306738,-0.053544101266144145
2018-03-30,0.10865478748203546,0.1601876233064441,0.07919651581666491
2018-04-27,0.217249289958577,0.38105195213007537,0.19052639933761065
2018-05-31,0.1155152829708641,0.2715978094819439,0.0940867732638612
2018-06-29,0.16672033063536537,0.015485837788557846,0.08421516663559024
2018-07-31,-0.0006795751592761486,0.057261119815183996,0.039643520634357304
2018-08-31,0.01924324562921536,0.11073045474189547,-0.008256476722925314
2018-09-28,0.15073408500860547,0.2213740705422758,0.09143165261358578
2018-10-31,-0.021059092826953826,-0.18139645640978086,-0.0017456800312478928
2018-11-30,0.31069625082994934,0.3915057278021038,0.24556217937344935
2018-12-28,0.1850359585415413,0.238358125777325,0.14788694075711697
2019-01-31,-0.3721597411477869,-0.6195397242781012,-0.27997796242425405
2019-02-28,-0.0840513990212814,-0.15224724467318843,-0.054790570276013084
2019-03-29,0.3187341129925232,0.3623603562227125,0.23296306031401803
2019-04-30,0.2108675109420731,0.17114700649646347,0.1764884477136623
2019-05-31,0.18787723342294746,0.14473412060373872,0.14511797089203
2019-06-28,0.08680750412344562,0.11725860974778728,0.10916858389415578
2019-07-31,-0.2951643687765659,-0.2375330829062982,-0.1466557284109877
2019-08-30,0.049122965300093656,0.026516861360396174,0.08150606277571096
2019-09-30,0.11742461197834,0.1355771506480143,0.05353722734931212
2019-10-31,0.08635898460513289,0.09301903106645273,0.09483697127903133
2019-11-29,-0.19837578547227347,-0.11119806235802987,-0.14140586181376907
2019-12-31,-0.1598961289166992,0.02958836930235334,0.0044242308195590946
2020-01-23,-0.2997372341458845,-0.04739858827857918,-0.11298257311833604
2020-02-28,0.3750241816795428,-0.12462460681772675,0.21627258634494392
2020-03-31,0.020980111651058873,0.3324646897129694,0.0787562029791512
2020-04-30,0.05739295153960346,0.09829586639024314,0.05062040314112216
2020-05-29,-0.18480600632848918,0.27922469797177296,-0.03272457505520495
2020-06-30,0.03955232074563252,-0.052019605606322,-0.05207689007523143
2020-07-31,0.22473196746707721,0.03083524091909766,0.19703443172421078
2020-08-31,0.1385366479269297,-0.06496479157233913,0.11280082540913615
2020-09-30,0.05621556205903132,0.1625434784912066,0.09134539363425534
2020-10-30,0.05216687304348247,-0.2247383232988419,0.04202011850176421
2020-11-30,-0.08051061952240197,0.29828441845931986,0.006121985728341053
2020-12-31,-0.05821357460214293,0.32204691813484326,0.012472891044938901
2021-01-29,0.25587866431146333,-0.19729002949087054,0.15165487567707578
2021-02-26,0.3762410988628585,0.1536187033994703,0.22572414893790263
2021-03-31,-0.011380298435284755,0.057445433258417236,0.058850096866987646
2021-04-30,-0.15002690758129875,-0.18133412359817092,-0.17515199605721318
2021-05-31,-0.05698469831479283,-0.05482680876623983,0.0015594465912182737
2021-06-30,-0.07745110706328562,-0.11494937259368465,0.006949413671656605
2021-07-30,0.024188531542379033,0.10663675741082093,-0.019416659410964366
2021-08-31,0.21534775886630356,0.20407755703273295,0.11241083147811164
2021-09-30,-0.0029149961094156653,-0.01383581988813641,0.06276453884797868
2021-10-29,-0.08815326650216056,-0.1422449721215339,-0.042412397854717836
2021-11-30,0.23681466044105548,0.17541953461290927,0.17889553375313816
2021-12-31,0.3545566593764512,0.4566382995961772,0.23892171938444537
2022-01-28,0.11779571428314062,-0.04991736375032952,0.0788350586524498
2022-02-28,0.2826344003547753,0.26296828255346577,0.15824331702665814
2022-03-31,0.1299789343114388,0.021460672427243085,0.12922600771201323
2022-04-29,0.02758572908250738,-0.14745620391656208,-0.011895309214955579
2022-05-31,-0.2939780815673483,-0.277168696052738,-0.23916521214444678
2022-06-30,0.20239817995759815,0.16808832497140838,0.17442632951532833
2022-07-29,0.2990475019045663,0.30418103793121126,0.15745008662456192
2022-08-31,0.27407797373303655,0.20727182872016592,0.23983463036273417
2022-09-30,-0.04382509002478957,0.0007779231493940868,-0.043690534986444415
2022-10-31,0.30525335977087464,0.34472624957226505,0.12068198544060227
2022-11-30,-0.023938971138659816,0.08750707864879718,0.016110728392411913
2022-12-30,-0.14268831142901583,-0.1328433850709102,-0.1284940503957549
2023-01-31,0.3313563983373276,0.3205458565514665,0.33761801833996
2023-02-28,-0.04631560542718772,0.0011031473214375882,0.07515164320585144
2023-03-31,0.18430404686747978,0.18265380990431515,0.09206578501723706
2023-04-28,0.10663853908831693,0.08023485748438905,0.10994059903286767
2023-05-31,0.05656851066482949,0.03428876422948159,0.08880027656962103
2023-06-30,0.33100578990340257,0.5012344937373526,0.1618377282000472
2023-07-31,0.19574138726039128,0.11056774445500485,0.18829634317332755
2023-08-31,0.30834521381268787,0.30055416421904696,0.23251277875967594
2023-09-28,-0.1363704561543617,-0.01706331241755774,-0.1179903525705243
2023-10-31,0.003419361232243666,-0.0003837428343165381,0.0702815169002917
2023-11-30,0.11253312002672348,0.057429296355021274,0.09985979780973697
2023-12-29,0.5876960584373729,0.661947838953349,0.3781114523896411
2024-01-31,-0.203380496807122,-0.579571664237542,-0.1350911884855317
2024-02-29,0.1002479925749884,0.18518119559561813,0.07561087595449369
2024-03-29,0.2544187335222031,0.2633345962065577,0.18157279823696404
2024-04-30,0.17880279208654104,0.2307676022975486,0.06656416056542605
2024-05-31,0.08835084085576214,0.2879126768417799,0.08580849467501961
2024-06-28,-0.07346802971724993,-0.07263460262400337,-0.1163936324477886
2024-07-31,0.22498011846431212,0.2881243327474802,0.20218646151560038
2024-08-30,-0.303822854315612,-0.47922886406948695,-0.22015988548090862
2024-09-30,-0.28571406392000565,-0.31026793192966906,-0.11046035930720777
2024-10-31,0.05067051781888131,0.04010179886860444,0.052380306953214585
2024-11-29,0.4518490423228194,0.4630730831569028,0.4237741896547054
2024-12-31,0.15513485266204124,0.10336067648848367,0.2016176282763612
2025-01-27,-0.3092277736146257,-0.4691067182075375,-0.19871312272389927
2025-02-28,0.43728711265742437,0.30975060469232024,0.2988616045883321
2025-03-31,0.06892981904422792,0.1348855552990252,-0.016207607450603092
2025-04-30,0.25548799171023695,0.26083490262784215,0.18554568033789776
2025-05-30,-0.1396938498742107,-0.2034570769573229,-0.10667682408036816
2025-06-30,-0.09863293737663598,0.01963341413570969,-0.09095887011663588
2025-07-31,-0.288710690123133,-0.3527376068650563,-0.14943135305549204
2025-08-29,-0.2102026489855809,-0.07958192138351042,-0.07844680095673172
2025-09-30,0.2641695351126398,0.04283978796973622,0.1832550955780679
2025-10-31,0.25163639856255476,0.2983739054575119,0.16555953700060197
2025-11-28,-0.074828100981158,-0.23137337749294978,0.045227899489730036
2025-12-31,-0.17670832246205007,0.06275723777089715,-0.11504263640272268
2026-01-30,-0.046961891656470085,0.1028538725837743,0.01978387319039578
2026-02-27,0.4148193847749658,0.15506839038685707,0.231077981908641
2026-03-31,-0.17608340334226333,-0.2428455202590937,-0.042803753986505606
2026-04-30,-0.07529073039661144,-0.0751611158400604,-0.054525005731582976
2026-05-29,-0.266996948432732,-0.10187017479714812,-0.21903617818152843
2026-06-30,0.7213022650971889,-0.1691767657324125,0.5351080090237184
2026-07-31,-0.1244371277133627,-0.1728554983872964,-0.06021058195650872
2026-08-31,,,
