,IC均值,IC标准差,ICIR,t值,t值(NW),IC>0占比,期数,IC均值(执行口径),因子自相关,缺失率,多空年化(Q5-Q1),Q5年化,Q1年化,单调性(组均值秩相关),IC均值(16-21),IC均值(22-26)
动量(12-1月),0.030422151713740308,0.21090544170609063,0.14424545648345763,1.631951046956831,1.9033318268893968,0.5859375,128.0,0.027998965352262654,0.8898951789466716,0.007868412468080899,0.08732457221116019,0.06122344279757974,-0.05107329939337513,0.9999999999999999,0.04004890479517138,0.022018989005138274
反转(1月),0.021482645383805694,0.1769236088379825,0.12142328276537921,1.3737476261973007,1.4835134711270972,0.46875,128.0,0.026737368738331165,0.04222738201924128,0.0,-0.01192420955041118,0.006359147694082523,-0.00033188774389947273,0.09999999999999999,0.012791099214664385,0.03180064231988419
低波动(60日),0.07075405771217785,0.23486371703043285,0.3012558031814245,3.4083203408221627,4.508378245111995,0.65625,128.0,0.07471062996052719,0.8965415631491827,0.006522874911902954,-0.003213635712634333,0.04743188650372021,-0.01678629448454938,0.8999999999999998,0.06582807813765787,0.06976844255990498
小市值,-0.021502085159912546,0.16371799819216765,-0.13133611085736582,-1.4858984736305845,-1.5857589324826395,0.46875,128.0,-0.01884003986882033,0.9884952967064364,0.0,-0.04524203048547071,0.0024655063061487237,0.05060888362717697,-0.7,-0.03789479761820152,0.003794470338068289
低换手(20日),0.0740183225035914,0.21569377140146404,0.34316393107997273,3.8824566836045085,4.82596107115742,0.65625,128.0,0.07558961218521425,0.8813654327683658,0.0017867690586135243,0.028463681637761473,0.05393118108624084,-0.034516502361273904,0.8999999999999998,0.08127856560592911,0.05769291071970088
价值(BP),0.037433333620835854,0.2261573822596138,0.1655189551931798,1.872633210112156,2.135812713009279,0.53125,128.0,0.04100777883608458,0.990179396995333,0.0003891865521453708,-0.013840529458741924,0.05003202360562642,0.014403011953932232,0.6,0.022287879520013428,0.0528511901587594
质量(ROE),0.02375280913882941,0.1487789059500445,0.15965172607738418,1.8062530901992884,1.7219802957830392,0.5703125,128.0,0.0211032980982098,0.9821482261255481,0.0003891865521453708,0.0067163048358920285,0.030462076285911577,0.009453400899097852,0.8999999999999998,0.04204066142694895,-0.0018285707693090336
"价值(EP,诊断)",0.04906975834978673,0.19752439643502004,0.24842378579766627,2.8105942967290267,3.606303598446935,0.6171875,128.0,0.04930981343303987,0.9775957575057639,0.0,-8.622997159912771e-05,0.043553382461287926,0.008567468953585955,0.7999999999999999,0.04835004965570156,0.04689235243634382
