,年化收益,年化波动,夏普比率,最大回撤,Calmar,最大回撤起止,累计收益,基准年化收益,年化超额收益,跟踪误差,信息比率,Beta,超额最大回撤,月度胜率(vs基准)
动量(12-1月),0.04569465694181574,0.2793011758106165,0.16360352515235937,-0.5208044670269414,0.0877386040919882,2021-09-15~2024-02-05,0.6098038863165611,0.022821208912664037,0.022363095162514224,0.15498877553067003,0.14428848209132986,1.2470188326333265,-0.31662865092099557,0.49606299212598426
反转(1月),-0.024072968302674136,0.26258684718049496,-0.09167621516902193,-0.6379665433757433,-0.03773390399956424,2016-01-06~2024-09-18,-0.2286805767032607,0.022821208912664037,-0.045847873320098764,0.15040410821632028,-0.30483125669783956,1.1410677030047642,-0.594462340847413,0.3858267716535433
低波动(60日),0.024025722265893057,0.13967025543064648,0.1720174577744871,-0.30593833031946427,0.07853125903120778,2017-10-26~2019-01-02,0.28786294967527093,0.022821208912664037,0.0011776382252666195,0.12492797106208388,0.009426537670105789,0.5539745501012528,-0.4671251690396372,0.5039370078740157
小市值,-0.03968974250238011,0.24073302893185344,-0.16487036564316007,-0.659614862763563,-0.06017108580011907,2016-11-22~2024-09-18,-0.35049473733409453,0.022821208912664037,-0.06111620571643994,0.13403821909006314,-0.45596103955525297,1.053282426903831,-0.6643914852811689,0.4566929133858268
低换手(20日),0.060704962518588035,0.1473286599102169,0.41203770234238235,-0.2360336923063293,0.2571877003042595,2018-01-26~2018-10-18,0.8738239150627705,0.022821208912664037,0.03703849047694008,0.11580662781508329,0.3198304896338237,0.6147705909382594,-0.37625252678499366,0.5275590551181102
价值(BP),0.04616601860567937,0.18547021219762122,0.24891338646061828,-0.30576622523279995,0.15098468959588374,2018-01-26~2018-10-18,0.6175529685732439,0.022821208912664037,0.02282393979474917,0.13401716516362844,0.17030609300593882,0.7274584738071317,-0.4328536581536204,0.5039370078740157
质量(ROE),-0.0057837881790575585,0.21971356709148665,-0.026324219553766764,-0.6688219571255621,-0.008647724730681549,2021-02-10~2024-09-13,-0.05993787811419027,0.022821208912664037,-0.027966761778562277,0.08338368040060219,-0.3353985053694068,1.0717555435498842,-0.4660841568386669,0.5118110236220472
"价值(EP,诊断)",0.05555680018453257,0.18152681040950552,0.3060528638122503,-0.3323405723269699,0.16716827498832607,2018-01-26~2019-01-02,0.7791531262670024,0.022821208912664037,0.03200519405211488,0.13521383676211837,0.23670058345006217,0.7029755769507203,-0.3699576761702168,0.5511811023622047
