,策略,中证800,股票池市值加权(含股息),股票池等权,超额(vs中证800),策略年内最大回撤
2016,0.044290957668475794,-0.06319664104196243,-0.020028738971592852,-0.054060661342532956,0.11473869909048107,-0.22618430977276716
2017,0.08804413178623172,0.15161662180805413,0.19329341178430104,0.00792838065657464,-0.055202824288879015,-0.1111097263512395
2018,-0.23155595122524653,-0.2738346348212678,-0.22534408357853708,-0.3081273152131101,0.058221839849956325,-0.336808202719039
2019,0.1899207846760378,0.33706788602400617,0.3080377020350282,0.28784900855239104,-0.11005207954364593,-0.169284817282641
2020,-0.039309149600710414,0.2578814981677131,0.23666115593939607,0.210077082828938,-0.2362628341392451,-0.1608265019347509
2021,0.047116106687095316,-0.00755634524133042,0.024822527977803155,0.14000576629517236,0.05508872132566589,-0.10675579009057701
2022,0.014748562922169528,-0.21316080945625138,-0.15959679731876675,-0.15564725982080685,0.28965178033509376,-0.12839482170896777
2023,0.03242359369797998,-0.1037321102601807,-0.04268130016194627,-0.04400853201559818,0.15191407113523359,-0.09877820016466099
2024,0.20051415251400884,0.12202815371631659,0.1891553425980288,0.0987110195132046,0.06995011536719065,-0.18600291047912465
2025,0.11885405219769107,0.20887859175399281,0.21115885898010833,0.2541316487069769,-0.07446946299684476,-0.07677812494457759
2026,0.060643147923732155,0.016768012131901155,0.018025475137262825,0.03965787635266427,0.043151569746805896,-0.11757330051734105
