,第1月,第2月,第3月,第6月,第12月
动量(12-1月),0.030422151713740304,0.031549884458098545,0.02942605672478002,0.021767480742739386,0.014836033748485123
反转(1月),0.021482645383805694,0.011867147520665472,-0.007275363713210147,-0.02398005039200166,-0.01902862291258373
低波动(60日),0.07075405771217785,0.059617550731132896,0.04591227101789259,0.04035572883103615,0.04373470325213586
小市值,-0.02150208515991254,-0.022445909399816475,-0.024098561046749553,-0.023093558355632576,-0.015621080669414084
低换手(20日),0.07401832250359139,0.05875610523421257,0.04933676351287636,0.041284366493002385,0.039391895949823424
价值(BP),0.03743333362083585,0.02958985584608558,0.02415451246643753,0.02713138507411105,0.026882141032381884
质量(ROE),0.023752809138829413,0.02253584791957729,0.01674996645070831,0.014187885706536816,0.011565280869169038
"价值(EP,诊断)",0.04906975834978673,0.04249532810925198,0.033694630660525755,0.03401580073093153,0.03595340453407573
