,mom_12_1,rev_1m,vol_60,size,turnover_20,bp,roe
mom_12_1,1.0,-0.03173434334216236,-0.21769261731862097,-0.3374539253016786,-0.09940857014055547,-0.21263750698613657,0.21587199482141428
rev_1m,-0.03173434334216236,1.0,0.02961994921085438,0.12547535275041588,0.08086433489424685,0.06412577102738289,-0.04673266315527969
vol_60,-0.21769261731862097,0.02961994921085438,1.0,-0.06860408280432957,0.6709846016397555,0.4705941628532335,0.020446894364685168
size,-0.3374539253016786,0.12547535275041588,-0.06860408280432957,1.0,-0.29171158509994966,0.08581325584818898,-0.2959468964529038
turnover_20,-0.09940857014055547,0.08086433489424685,0.6709846016397555,-0.29171158509994966,1.0,0.32644381155506524,0.06228623534283798
bp,-0.21263750698613657,0.06412577102738289,0.4705941628532335,0.08581325584818898,0.32644381155506524,1.0,-0.3391474582844304
roe,0.21587199482141428,-0.04673266315527969,0.020446894364685168,-0.2959468964529038,0.06228623534283798,-0.3391474582844304,1.0
