,IC均值,IC标准差,ICIR,t值,t值(NW),IC>0占比,期数
等权合成,0.0831990248549555,0.20217611990340648,0.41151756644011883,4.655789788915099,5.607317053286997,0.6640625,128.0
IC-IR加权,0.07577744783197451,0.2206319998831136,0.34345628862594674,3.885764331657137,4.498477601452157,0.6796875,128.0
行业市值中性(6因子),0.07429096525838746,0.14108891262383552,0.5265542407039344,5.957281188228571,7.138592739728685,0.7265625,128.0
