,IC均值,IC标准差,ICIR,t值,t值(NW),IC>0占比,期数,IC均值(中性化前)
动量(12-1月),0.01508924508744178,0.14219826023397036,0.10611413291986989,1.2005443674779306,1.4120672607605922,0.5546875,128.0,0.030422151713740304
反转(1月),0.021915113004596816,0.12166872648490741,0.18012116702245018,2.0378383781889484,2.0964889937981384,0.5078125,128.0,0.021482645383805694
低波动(60日),0.06055505609182438,0.148899077447627,0.40668523358127384,4.601118183580061,5.548643191101864,0.6796875,128.0,0.07075405771217785
小市值,-0.021831240315657814,0.1460126521353824,-0.14951608642390776,-1.6915814177091053,-1.6938475021214756,0.4453125,128.0,-0.02150208515991254
低换手(20日),0.055928177643555343,0.12058215268103267,0.4638180394033779,5.247502094380446,6.0780144802952165,0.6640625,128.0,0.07401832250359139
价值(BP),0.03600385083912149,0.1315167868981311,0.27375859529634783,3.09722494627442,3.28770342888054,0.5703125,128.0,0.03743333362083585
质量(ROE),0.02003963766468118,0.10486438866361567,0.1911005053294536,2.162055411306122,2.1560604110687307,0.5703125,128.0,0.023752809138829413
"价值(EP,诊断)",0.0460180753962086,0.12681198726872764,0.3628842697551263,4.105566846876451,4.817647711870017,0.671875,128.0,0.04906975834978673
