,年化收益,年化波动,夏普比率,最大回撤,Calmar,最大回撤起止,累计收益,基准年化收益,年化超额收益,跟踪误差,信息比率,Beta,超额最大回撤,月度胜率(vs基准)
等权合成,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.028934289055112083,0.013291479909858017,0.11084996910045064,0.11990512958838509,0.7084664881323991,-0.34518389806132177,0.5196850393700787
IC-IR加权,0.08801607956472979,0.18322062170003053,0.48038304175623875,-0.25187942549933107,0.3494373523770148,2018-01-23~2019-01-02,1.4568320671995396,0.028934289055112083,0.057420372844094514,0.13199360760532494,0.43502389157956495,0.6928683815689367,-0.35311445055664337,0.5669291338582677
行业市值中性(6因子),0.031610908609063015,0.18073716203733625,0.1748998836361772,-0.34448250572967154,0.09176346572986581,2017-04-13~2018-10-18,0.3932269208422443,0.028934289055112083,0.002601351303404442,0.07154018758067045,0.0363620978833903,0.8290372332553796,-0.26212789335421494,0.5354330708661418
等权合成+换仓缓冲(前100名不卖),0.05440298065881444,0.17060704220935055,0.3188788689745701,-0.325009149300333,0.1673890743566175,2018-01-26~2018-10-18,0.7585391630372937,0.028934289055112083,0.024752495737206726,0.11420183201477756,0.2167434208411279,0.6918796504577904,-0.337994874166895,0.5433070866141733
股票池市值加权(含股息),0.05512768906547749,0.17329036684316568,0.3181232175206261,-0.2981372274918396,0.1849070964040759,2018-01-24~2019-01-03,0.7714612570574326,0.028934289055112083,0.025456824880838003,0.07823098949405594,0.32540589152042154,0.7855788307545063,-0.19982194861203484,0.5748031496062992
