,mom_12_1,rev_1m,vol_60,size,turnover_20,bp,roe,ep
2015-12-31,-0.20053012117618554,0.07978413807766244,0.4796334204526235,-0.23253734055205183,0.4491784672492558,0.27992391929425486,0.11400333934183741,0.22064610956327907
2016-01-29,-0.10456458471413543,-0.08234037577456511,0.1795761053182706,-0.03840361997807238,0.18308924373679206,0.2201625295674989,-0.06408265161458604,0.0880038029034393
2016-02-29,-0.01771669503263677,0.41745319366898315,-0.2601233930244903,0.26714476615425214,-0.2621599602216262,-0.20748897108281453,0.05210872468752451,-0.05636936936498849
2016-03-31,0.07704668825601567,0.2231527716220448,0.22594879773308843,0.05633887041120094,0.19236473291548553,0.1293855001757519,0.040056673723465816,0.08863104212841921
2016-04-29,0.060383879885751175,0.025362366793919015,0.0855751812128074,-0.10126775726501638,0.06723382534338394,-0.12203414296599426,0.22072293621305838,0.16364468911719446
2016-05-31,0.03631412795026536,0.0006092639234618197,-0.1893331547406995,0.22250289334148735,-0.2589584945162833,-0.2189689321565982,0.07955897628767898,-0.045163392948392805
2016-06-30,0.022478906625190233,0.196164258334472,0.39808300585669004,-0.13101825938243908,0.41147938097314246,0.31907753140174877,0.07848078147065438,0.27872553230733954
2016-07-29,-0.11432393936698483,0.1457875154690247,0.18821321948436773,0.07888175670417541,0.13298067363909255,0.2070810725404469,-0.0794562526086289,0.06434585614121173
2016-08-31,0.007009023095327404,-0.06551157107463221,0.22658834976248945,0.0931717845778132,0.1831021287227229,0.09626309294603999,0.046849218745323024,0.06054529899953348
2016-09-30,-0.08936936648436922,0.17834572604473245,0.09830990602283174,0.047480369568982383,0.11925102086802926,0.166848290777662,-0.18675400064364533,-0.0788426269871252
2016-10-31,-0.18517134603976648,-0.07540359323330412,0.26020625693689564,-0.18110333400375125,0.19749987330705532,0.3891805801263467,-0.10021887174478575,0.12282239788884444
2016-11-30,0.07802393042527694,0.007276423510793333,0.16817847907040318,0.04114416315005536,0.2434467601353151,0.1817954150276893,-0.017581604000753495,0.09127201445082507
2016-12-30,0.2790052240905274,-0.04935799650251629,0.11394008360492089,-0.3057703504722833,0.22479434052551694,0.3452157221049688,0.06883090462487253,0.23528657849701903
2017-01-26,0.0007387677836290127,0.155506517830837,-0.07880886492207329,0.1885898513999613,-0.08925210614219857,-0.012467575183754083,-0.05436357135981301,-0.053584759668556234
2017-02-28,0.2582156725784756,-0.049387647128034055,0.13358744862445557,-0.14567300288622861,0.13052471645133312,0.015772247144721502,0.24267257473497375,0.22659122972919019
2017-03-31,0.12065547588074385,-0.2218346411461536,0.1531793296019688,-0.2719642351155793,0.14474161478775166,0.053711715625479765,0.3162774120610867,0.32013505249793867
2017-04-28,0.1319569505400347,-0.23382538676973078,0.2119107047387037,-0.3142040175656991,0.2766518768187368,0.07604969135712743,0.24554965867076314,0.258643394662043
2017-05-31,0.18872663178375731,0.08067051579305076,-0.07837014381559293,-0.09268278827784629,-0.04141940610578491,-0.10819582169298038,0.2073408501156841,0.09683180375219574
2017-06-30,-0.027959694605208373,-0.14393490422065014,0.1406047836098914,-0.15623206490633393,0.16012545127956573,0.366450148296933,-0.15259630343288533,0.14112689597471795
2017-07-31,-0.11540047169442083,0.20945619815493938,-0.18914086747613298,0.12318353997374595,-0.06618131047290382,-0.17173926686740987,-0.06925812890685114,-0.17699235030846844
2017-08-31,-0.11067529546613568,-0.027747258100695872,0.03868200304872037,0.1031380301266113,0.09945206280385985,-0.17683751282727972,0.08253558798188705,-0.08480290710417351
2017-09-29,0.2735210092233225,-0.0025467627280242977,0.3230262075181397,-0.20252276399819558,0.33912974120482386,-0.10922315267581648,0.3668927356153683,0.22580214789377775
2017-10-31,0.1941614074293483,-0.024561599736839516,0.10332554269974266,-0.2699227024399394,0.19198891512256205,0.2022429198718007,0.08731898201958872,0.2371849462006477
2017-11-30,0.24735606250709186,-0.026064469336889252,-0.12912845054867475,-0.10952701584615533,-0.031102354512101027,-0.1542778102928741,0.19149619692048253,0.04549482390898181
2017-12-29,0.15293570989808336,0.023383991632328602,0.22455367002974677,-0.25442988138642403,0.1786359746234224,0.2859019751655512,0.20796026012352026,0.42612391574371744
2018-01-31,0.206946541487852,0.22694447172889937,-0.18373545624760618,0.059052664724901935,-0.0951167980026722,-0.2620856436303582,0.12253834749292708,-0.11642654588310151
2018-02-28,-0.24846928608226623,-0.0033815917387835927,0.017575047782925388,0.2824358313731218,0.07540819739249985,-0.20957901369581047,-0.14485615903055818,-0.31821435568882045
2018-03-30,0.1294287448337763,-0.031077167356225704,0.1412836254045522,-0.14560928508310284,0.17656478255370625,0.04529792032569755,0.00014821090444661455,0.016746554354956984
2018-04-27,0.24285522419827862,-0.014789734429816731,0.16030773239348006,-0.11746459317029963,0.1764497740133339,-0.13975161540961864,0.2871294024745162,0.11725019575771267
