,年化收益,年化波动,夏普比率,最大回撤,Calmar,最大回撤起止,累计收益,基准年化收益,年化超额收益,跟踪误差,信息比率,Beta,超额最大回撤,月度胜率(vs基准),年均单边换手,平均持股数
等权合成,0.04261034848665202,0.17245613008008578,0.2470793497851568,-0.336808202719039,0.12651220529268706,2018-01-29~2018-10-18,0.5599231553428552,0.022821208912664037,0.019347603864242613,0.11937729708314233,0.16207104983092094,0.7143353078260651,-0.4286991926817084,0.5118110236220472,5.985303007536869,50.4375
IC-IR加权,0.08801607956472979,0.18322062170003053,0.48038304175623875,-0.25187942549933107,0.3494373523770148,2018-01-23~2019-01-02,1.4568320671995396,0.022821208912664037,0.06374024128945543,0.11153766629845713,0.5714683066695752,0.7923608701164085,-0.28512457835900695,0.5905511811023622,4.309689332128369,50.2734375
行业市值中性(6因子),0.031610908609063015,0.18073716203733625,0.1748998836361772,-0.34448250572967154,0.09176346572986581,2017-04-13~2018-10-18,0.3932269208422443,0.022821208912664037,0.008593583726860032,0.0905736703709687,0.09487949082401885,0.8384816844119087,-0.41287593376372167,0.5354330708661418,6.57280011455285,50.53125
等权合成+换仓缓冲(前100名不卖),0.05440298065881444,0.17060704220935055,0.3188788689745701,-0.325009149300333,0.1673890743566175,2018-01-26~2018-10-18,0.7585391630372937,0.022821208912664037,0.03087711857258424,0.12168224246704008,0.25375205080517715,0.6978696880042403,-0.40904184456559145,0.5433070866141733,3.368364802300544,50.46875
股票池等权,0.02880868480904608,0.2046006044452235,0.14080449511457266,-0.38170111316659294,0.07547445845795207,2017-10-13~2018-10-18,0.35342507111905896,0.022821208912664037,0.005853883204814503,0.06545360102418507,0.08943561718860199,1.0199506443834254,-0.2963537909982149,0.5433070866141733,0.5288584548818313,798.0234375
股票池市值加权(含股息),0.05512768906547749,0.17329036684316568,0.3181232175206261,-0.2981372274918396,0.1849070964040759,2018-01-24~2019-01-03,0.7714612570574326,0.022821208912664037,0.031585657269619594,0.03205492170614322,0.9853606119888387,0.9012968620515818,-0.07820250029870124,0.6692913385826772,0.21845522051012095,798.0234375
中证800,0.022821208912664037,0.19009309566613877,0.12005280272117307,-0.4295736613831075,0.05312525176517132,2021-02-19~2024-09-13,0.271812466336973,0.022821208912664037,0.0,0.0,,1.0,0.0,0.0,,
