,nav
2016-01-04,1.0
2016-01-05,0.9990003948833639
2016-01-06,1.0212517261677287
2016-01-07,0.9470638755731128
2016-01-08,0.9678386643251741
2016-01-11,0.9161737768101359
2016-01-12,0.9212616942245666
2016-01-13,0.9002159997818386
2016-01-14,0.91946561509001
2016-01-15,0.8864994164718767
2016-01-18,0.8904432353858001
2016-01-19,0.9195366830252611
2016-01-20,0.9077688400116358
2016-01-21,0.8791758075364869
2016-01-22,0.8899985300045906
2016-01-25,0.8958359026452221
2016-01-26,0.8373815868060976
2016-01-27,0.8341492256015
2016-01-28,0.8100909337891541
2016-01-29,0.8362829728628248
2016-02-01,0.8219808354932269
2016-02-02,0.8404329218235747
2016-02-03,0.8366113305691151
2016-02-04,0.8483976154472759
2016-02-05,0.842696350293829
2016-02-15,0.8379578658907557
2016-02-16,0.8658981381949966
2016-02-17,0.875037959257571
2016-02-18,0.8721565547368152
2016-02-19,0.8713070483334203
2016-02-22,0.8924199165360175
2016-02-23,0.8849476604845756
2016-02-24,0.8918416216341551
2016-02-25,0.834600778842152
2016-02-26,0.8438072682240355
2016-02-29,0.8218884526680802
2016-03-01,0.8365741082312734
2016-03-02,0.8727110094288494
2016-03-03,0.8760775421465811
2016-03-04,0.883164784459452
2016-03-07,0.8889351308126169
2016-03-08,0.8899125784482713
2016-03-09,0.8783717190483689
2016-03-10,0.8614723757335746
2016-03-11,0.8632911051019824
2016-03-14,0.8783291750798821
2016-03-15,0.878815250547745
2016-03-16,0.8812925367383421
2016-03-17,0.892578195831532
2016-03-18,0.9078044261363347
2016-03-21,0.9264162808361422
2016-03-22,0.9202142448059066
2016-03-23,0.9234139152321548
2016-03-24,0.908145619177165
2016-03-25,0.9135610622348403
2016-03-28,0.9072091693421108
2016-03-29,0.8960177548598172
2016-03-30,0.921208950004172
2016-03-31,0.9221611664545601
2016-04-01,0.92317267284801
2016-04-05,0.9366850283621324
2016-04-06,0.9362520261182015
2016-04-07,0.9225487462955947
2016-04-08,0.9153319759137516
2016-04-11,0.9298167018452639
2016-04-12,0.926215499183665
2016-04-13,0.9397470988148962
2016-04-14,0.9437340450142941
2016-04-15,0.9414789947318212
2016-04-18,0.928070011599071
2016-04-19,0.9305911723519806
2016-04-20,0.9095064180110036
2016-04-21,0.9038539493114285
2016-04-22,0.9073614898480948
2016-04-25,0.9036650818345452
2016-04-26,0.9090016190155916
2016-04-27,0.9050868390618593
2016-04-28,0.9033859825085899
2016-04-29,0.9016350303707197
2016-05-03,0.919268746768084
2016-05-04,0.918006183277858
2016-05-05,0.9198633170013746
2016-05-06,0.8946533631619107
2016-05-09,0.8724314252148445
2016-05-10,0.8731326889365503
2016-05-11,0.8763788421454881
2016-05-12,0.8773741002857233
2016-05-13,0.874430214785249
2016-05-16,0.881535013803415
2016-05-17,0.8795967400448873
2016-05-18,0.8706201823802995
2016-05-19,0.8701888398844612
2016-05-20,0.8757959063251354
2016-05-23,0.8805706399794286
2016-05-24,0.8740606132062758
2016-05-25,0.8722328519305385
2016-05-26,0.8746939355082063
2016-05-27,0.8743202299189206
2016-05-30,0.8751401242136074
2016-05-31,0.9045157556412606
2016-06-01,0.9031650770719895
2016-06-02,0.9057300819045997
2016-06-03,0.9110048784335839
2016-06-06,0.9098245016265165
2016-06-07,0.9097481490165291
2016-06-08,0.907269648932997
2016-06-13,0.879258287596043
2016-06-14,0.8825565952269098
2016-06-15,0.8962831777795158
2016-06-16,0.8914056273461881
2016-06-17,0.8963769761341442
2016-06-20,0.8974686324496205
2016-06-21,0.8943966969270106
2016-06-22,0.9031748164969345
2016-06-23,0.8996673739353721
2016-06-24,0.8897131177409217
2016-06-27,0.9025772951368886
2016-06-28,0.9076479454338088
2016-06-29,0.9119472006670709
2016-06-30,0.9127334362331506
2016-07-01,0.9134998651137016
2016-07-04,0.9308694010850012
2016-07-05,0.9351366881847641
2016-07-06,0.9383101057934335
2016-07-07,0.9398931375160652
2016-07-08,0.9351331407029445
2016-07-11,0.9386213691583545
2016-07-12,0.9570863141351899
2016-07-13,0.9622495137952044
2016-07-14,0.9602293856773615
2016-07-15,0.9606480693677907
2016-07-18,0.957437805258817
2016-07-19,0.9546204811973266
2016-07-20,0.951579532937333
2016-07-21,0.9554386907174366
2016-07-22,0.947986320776384
2016-07-25,0.9495283152454322
2016-07-26,0.9608556788788004
2016-07-27,0.9431572284598553
2016-07-28,0.9438848498409146
2016-07-29,0.9398368293991172
2016-08-01,0.9324162878221781
2016-08-02,0.937232023251326
2016-08-03,0.9384124727465234
2016-08-04,0.9406750993617663
2016-08-05,0.9399610570301975
2016-08-08,0.949223596705681
2016-08-09,0.9557374620948549
2016-08-10,0.9525379896428281
2016-08-11,0.948554365915488
2016-08-12,0.9644312736419202
2016-08-15,0.9896275404645883
2016-08-16,0.9851288604064211
2016-08-17,0.984636313700353
2016-08-18,0.9829921776872294
2016-08-19,0.9842995283745309
2016-08-22,0.9767072518995942
2016-08-23,0.9781851968428937
2016-08-24,0.9765150193081319
2016-08-25,0.9704451396674378
2016-08-26,0.9705258919949081
2016-08-29,0.9710028123679334
2016-08-30,0.9727638133758097
2016-08-31,0.9764497155588252
2016-09-01,0.9694291053327748
2016-09-02,0.9707637994618701
2016-09-05,0.973000807707527
2016-09-06,0.9797503575103703
2016-09-07,0.9797710825522877
2016-09-08,0.9803591906443442
2016-09-09,0.9745819571898084
2016-09-12,0.9566108783702049
2016-09-13,0.9564597327723138
2016-09-14,0.9495857384901094
2016-09-19,0.9566404199720346
2016-09-20,0.9554268016062661
2016-09-21,0.9575182019508361
2016-09-22,0.9640618491454409
2016-09-23,0.9611910576819116
2016-09-26,0.9453013560047991
2016-09-27,0.9512478719268005
2016-09-28,0.948624372350573
2016-09-29,0.9525704520176467
2016-09-30,0.9549970366988573
2016-10-10,0.9679244595361538
2016-10-11,0.9716838196907015
2016-10-12,0.9699312334834979
2016-10-13,0.9703673339541877
2016-10-14,0.9712791830638576
2016-10-17,0.9637138060509672
2016-10-18,0.976782712944781
2016-10-19,0.9758427478930471
2016-10-20,0.9763136310735105
2016-10-21,0.9786991703111744
2016-10-24,0.9901614529110778
2016-10-25,0.9905966765145426
2016-10-26,0.9858505093258456
2016-10-27,0.9832528790611439
2016-10-28,0.9806452843822371
2016-10-31,0.9793242533155299
2016-11-01,0.9851704542108012
2016-11-02,0.9773918850235067
2016-11-03,0.9849707337239777
2016-11-04,0.9820412163414023
2016-11-07,0.9836447779910957
2016-11-08,0.9881634481336614
2016-11-09,0.9819241843396864
2016-11-10,0.9933183790803167
2016-11-11,1.0010129548886078
2016-11-14,1.005784677423838
2016-11-15,1.0052456409009807
2016-11-16,1.0053361196941195
2016-11-17,1.006697538330995
2016-11-18,1.0013786950351757
2016-11-21,1.0085139957546805
2016-11-22,1.017779450908654
2016-11-23,1.0176307193829455
2016-11-24,1.0192648067174463
2016-11-25,1.027553428358014
2016-11-28,1.033280359980805
2016-11-29,1.038679021542259
2016-11-30,1.0286696740288894
2016-12-01,1.0361020539755168
2016-12-02,1.0277911220155123
2016-12-05,1.0147982701715093
2016-12-06,1.0123161987934761
2016-12-07,1.018204639064433
2016-12-08,1.0159860409920696
2016-12-09,1.022941270747896
2016-12-12,0.9996454275759787
2016-12-13,0.9995035309748863
2016-12-14,0.9936617077905399
2016-12-15,0.9838643832449699
2016-12-16,0.9853095187416111
2016-12-19,0.9831993061359922
2016-12-20,0.9776572283930609
2016-12-21,0.9879041867349193
2016-12-22,0.9884779358050326
2016-12-23,0.9811658707086446
2016-12-26,0.9850951428079839
2016-12-27,0.9819651006420124
2016-12-28,0.9784210410990489
2016-12-29,0.9767614816237937
2016-12-30,0.9799712610284071
2017-01-03,0.9896014077120708
2017-01-04,0.9975920888160613
2017-01-05,0.9996789996043409
2017-01-06,0.9970259334889167
2017-01-09,1.0021979816090034
2017-01-10,0.9999551950096152
2017-01-11,0.992939216250441
2017-01-12,0.987842100924701
2017-01-13,0.9870109707598654
2017-01-16,0.9846952616343908
2017-01-17,0.9871769030658312
2017-01-18,0.9900634976770071
2017-01-19,0.9863560888333069
2017-01-20,0.9927609073364669
2017-01-23,0.9967656561275298
2017-01-24,0.9997783925086786
2017-01-25,1.0020287271686523
2017-01-26,1.0056517212960194
2017-02-03,0.9993684129637869
2017-02-06,1.0030501329191452
2017-02-07,1.0012966977238604
2017-02-08,1.00537332411505
2017-02-09,1.0097236793216928
2017-02-10,1.014523498261409
2017-02-13,1.0206281830949548
2017-02-14,1.0209547311362437
2017-02-15,1.0178325566594502
2017-02-16,1.0222265101932275
2017-02-17,1.0151223248694288
2017-02-20,1.0285606766966628
2017-02-21,1.0324854327779136
2017-02-22,1.0359257085364058
2017-02-23,1.0317787760241852
2017-02-24,1.031078714443734
2017-02-27,1.0226566627147746
2017-02-28,1.0252752029534389
2017-03-01,1.0270242942215382
2017-03-02,1.0206789096030395
2017-03-03,1.018109226472978
2017-03-06,1.0231440023980152
2017-03-07,1.0252653143256676
2017-03-08,1.0239584665532413
2017-03-09,1.0164160958189645
2017-03-10,1.0160790827491883
2017-03-13,1.0244121724158775
2017-03-14,1.024247193370667
2017-03-15,1.0251634918801307
2017-03-16,1.0308812409381536
2017-03-17,1.0211503463946132
2017-03-20,1.024539841415338
2017-03-21,1.0286251870418055
2017-03-22,1.0236665537236127
2017-03-23,1.0256078880709179
2017-03-24,1.0331978198714982
2017-03-27,1.0305187380256853
2017-03-28,1.0277254759894265
2017-03-29,1.0273334099146003
2017-03-30,1.0192993018380134
2017-03-31,1.0250330087633555
2017-04-05,1.0400227330292837
2017-04-06,1.0429847972978665
2017-04-07,1.0454935810442092
2017-04-10,1.0429177493071264
2017-04-11,1.047700540459215
2017-04-12,1.0449906901616683
2017-04-13,1.046599648155933
2017-04-14,1.0375267909873847
2017-04-17,1.0333540439382491
2017-04-18,1.0273870527154334
2017-04-19,1.0194683802735187
2017-04-20,1.021959286682472
2017-04-21,1.0230991119496644
2017-04-24,1.0113983574060916
2017-04-25,1.0139113133890838
2017-04-26,1.0155740415680687
2017-04-27,1.0175079837883465
2017-04-28,1.0170152470995895
2017-05-02,1.0130708299277922
2017-05-03,1.0089871745086323
2017-05-04,1.0068466261994453
2017-05-05,1.0000196963663774
2017-05-08,0.992745117785582
2017-05-09,0.9924213284359226
2017-05-10,0.9857136913344471
2017-05-11,0.9910784478392344
2017-05-12,0.9983859051049797
2017-05-15,1.0023521794502772
2017-05-16,1.0102304346157587
2017-05-17,1.005550770867237
2017-05-18,1.0020478369148567
2017-05-19,1.0029778514515229
2017-05-22,1.0030427092244767
2017-05-23,1.00494162885866
2017-05-24,1.005534752354399
2017-05-25,1.0206981289015822
2017-05-26,1.0200310008686808
2017-05-31,1.0227283033896644
2017-06-01,1.0220939050173268
2017-06-02,1.0214088440877278
2017-06-05,1.01599324305155
2017-06-06,1.020934744800309
2017-06-07,1.0335622111890712
2017-06-08,1.0385840403624245
2017-06-09,1.042211324390319
2017-06-12,1.0391106895832807
2017-06-13,1.0431348319953067
2017-06-14,1.0349030168493083
2017-06-15,1.033838122498091
2017-06-16,1.0323440525498737
2017-06-19,1.0393368273428685
2017-06-20,1.0388782825939966
2017-06-21,1.0469744233603233
2017-06-22,1.0463401128790815
2017-06-23,1.0531846257140527
2017-06-26,1.0643363450637915
2017-06-27,1.0653466323434138
2017-06-28,1.0593658754183155
2017-06-29,1.0656785848299963
2017-06-30,1.0673274577032719
2017-07-03,1.0662033667381186
2017-07-04,1.0604768757980354
2017-07-05,1.069824603164265
2017-07-06,1.0711464750464308
2017-07-07,1.0716596520522441
2017-07-10,1.0723690393065761
2017-07-11,1.075438465778058
2017-07-12,1.0734262659782798
2017-07-13,1.0827028288267877
2017-07-14,1.0868855950027678
2017-07-17,1.076857519738571
2017-07-18,1.0790857418007036
2017-07-19,1.0946369854062818
2017-07-20,1.100278957064876
2017-07-21,1.0984671226597946
2017-07-24,1.1026532330809737
2017-07-25,1.1002377065026618
2017-07-26,1.1000726133095733
2017-07-27,1.1007100325839558
2017-07-28,1.103685625195432
2017-07-31,1.1093041175060785
2017-08-01,1.1167121812283878
2017-08-02,1.1149459738315055
2017-08-03,1.1082916920891068
2017-08-04,1.1040052546783057
2017-08-07,1.1103459089750187
2017-08-08,1.1114975592417493
2017-08-09,1.110136088256948
2017-08-10,1.1057521915705952
2017-08-11,1.0877173677001726
2017-08-14,1.0990679997762107
2017-08-15,1.1038570990367418
2017-08-16,1.102051191748916
2017-08-17,1.1082173381099953
2017-08-18,1.1080785393589077
2017-08-21,1.1136823065003172
2017-08-22,1.1151745155002657
2017-08-23,1.1157388751954376
2017-08-24,1.1106596738373422
2017-08-25,1.1304050235482868
2017-08-28,1.1406621786681579
2017-08-29,1.1399895257620862
2017-08-30,1.1399627440560411
2017-08-31,1.1361350917081303
2017-09-01,1.1383725894983037
2017-09-04,1.1442499145828888
2017-09-05,1.1481203179802681
2017-09-06,1.1479166433486365
2017-09-07,1.1411188218751112
2017-09-08,1.140489124972775
2017-09-11,1.1432238437594846
2017-09-12,1.145567262272892
2017-09-13,1.1472967636689526
2017-09-14,1.1436667004430447
2017-09-15,1.1400113038646056
2017-09-18,1.1436371133871668
2017-09-19,1.1410388642650564
2017-09-20,1.1448833600908863
2017-09-21,1.1435395780391397
2017-09-22,1.1427480178861533
2017-09-25,1.1396008697859448
2017-09-26,1.141242157215817
2017-09-27,1.1418744982735012
2017-09-28,1.1411995227373322
2017-09-29,1.1436434656111354
2017-10-09,1.1548407738855393
2017-10-10,1.1569408326556752
2017-10-11,1.1594565745322583
2017-10-12,1.159917424257672
2017-10-13,1.1619360447662372
2017-10-16,1.1599091458037964
2017-10-17,1.157906838875081
2017-10-18,1.1650639691468487
2017-10-19,1.1622057103916559
2017-10-20,1.1622402719420943
2017-10-23,1.1629607786389058
2017-10-24,1.1686162500185102
2017-10-25,1.1717334548474687
2017-10-26,1.1742873062985673
2017-10-27,1.1796018866786957
2017-10-30,1.1755218444656013
2017-10-31,1.1749555863515673
2017-11-01,1.17449786554376
2017-11-02,1.1718479877419774
2017-11-03,1.1684139828592321
2017-11-06,1.1752938105725452
2017-11-07,1.1845422156686745
2017-11-08,1.1833325482027175
2017-11-09,1.1891439915751423
2017-11-10,1.1931840918287138
2017-11-13,1.199346406549205
2017-11-14,1.1922177350724372
2017-11-15,1.1831374855916525
2017-11-16,1.1869515649638596
2017-11-17,1.186032753125432
2017-11-20,1.1938440998291355
2017-11-21,1.2063159539570185
2017-11-22,1.2127481088608751
2017-11-23,1.1814871702208025
2017-11-24,1.1819197456524162
2017-11-27,1.1681285009039653
2017-11-28,1.1712777076573069
2017-11-29,1.1719812757123493
2017-11-30,1.1617197234366992
2017-12-01,1.1615685877036346
2017-12-04,1.164502702794692
2017-12-05,1.1662798097403178
2017-12-06,1.1614225963140483
2017-12-07,1.1504496116634455
2017-12-08,1.1572515738627074
2017-12-11,1.1722127951448809
2017-12-12,1.1581616494666014
2017-12-13,1.1671600544925895
2017-12-14,1.1617696668037594
2017-12-15,1.1501580378189353
2017-12-18,1.1512529747974343
2017-12-19,1.163521858607147
2017-12-20,1.161752884499473
2017-12-21,1.1695131933291576
2017-12-22,1.1679044480562013
2017-12-25,1.163838513393343
2017-12-26,1.169866647978393
2017-12-27,1.156609972782464
2017-12-28,1.1647922627961353
2017-12-29,1.1693932495231518
2018-01-02,1.1851951035024182
2018-01-03,1.1924563723780133
2018-01-04,1.1989666965676609
2018-01-05,1.20147759051185
2018-01-08,1.2076991344216756
2018-01-09,1.211744418170189
2018-01-10,1.2173113447626454
2018-01-11,1.218166752061025
2018-01-12,1.2215911908457024
2018-01-15,1.219377596885919
2018-01-16,1.2275913064299069
2018-01-17,1.2270904080181804
2018-01-18,1.2376792024146288
2018-01-19,1.2420345314200643
2018-01-22,1.2523690739557638
2018-01-23,1.2687511884967755
2018-01-24,1.2723392823571833
2018-01-25,1.2669833876011845
2018-01-26,1.2711495330732536
2018-01-29,1.2552014219716523
2018-01-30,1.241582361885861
2018-01-31,1.2425150028229226
2018-02-01,1.2339894476820676
2018-02-02,1.2420852326222125
2018-02-05,1.2485547930817598
2018-02-06,1.2086574722035563
2018-02-07,1.18192973989645
2018-02-08,1.1671264696055919
2018-02-09,1.119360896760216
2018-02-12,1.1306512984292985
2018-02-13,1.1429183307200945
2018-02-14,1.1495511183660239
2018-02-22,1.1756291788566209
2018-02-23,1.1817893287602392
2018-02-26,1.196210472980148
2018-02-27,1.1796371621328503
2018-02-28,1.1697863657004608
2018-03-01,1.1763892401472176
2018-03-02,1.1679333585442455
2018-03-05,1.167817521595844
2018-03-06,1.1804904322892693
2018-03-07,1.1732403616526215
2018-03-08,1.1805153615126334
2018-03-09,1.1878346767480528
2018-03-12,1.19392805279532
2018-03-13,1.186483616719571
2018-03-14,1.1803503073849047
2018-03-15,1.1840098005361257
2018-03-16,1.1734870583743766
2018-03-19,1.176718192452447
2018-03-20,1.180566104276114
2018-03-21,1.1754221685140895
2018-03-22,1.166627970447223
2018-03-23,1.1313689838067567
2018-03-26,1.123887211470019
2018-03-27,1.1342800195663278
2018-03-28,1.1173995545557882
2018-03-29,1.1324556839635278
2018-03-30,1.1342008951431441
2018-04-02,1.1305263859056736
2018-04-03,1.1214367353247692
2018-04-04,1.1185107060932775
2018-04-09,1.1195356294939445
2018-04-10,1.1398379922478887
2018-04-11,1.1452899855539618
2018-04-12,1.1339818995060647
2018-04-13,1.1260860070671157
2018-04-16,1.109105905515308
2018-04-17,1.092704543705932
2018-04-18,1.101227224588722
2018-04-19,1.1126758278995417
2018-04-20,1.0977570620979706
2018-04-23,1.0973232333519016
2018-04-24,1.1191546230601772
2018-04-25,1.1139656445558868
2018-04-26,1.096560304962769
2018-04-27,1.1002809543364596
2018-05-02,1.101134824366185
2018-05-03,1.1091399009330032
2018-05-04,1.1054391056340767
2018-05-07,1.122990796113018
2018-05-08,1.1326873588107476
2018-05-09,1.1313432341480105
2018-05-10,1.1367900433117952
2018-05-11,1.132359925092701
2018-05-14,1.1383299121081938
2018-05-15,1.1428188727066653
2018-05-16,1.133722203312681
